epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,1.020144221411811,64.21777777777778,0.6229201545715332,78.56,0.001,155.52585172653198
2,0.9728282681994967,66.77777777777777,0.6336005272865295,79.16,0.001,159.96690964698792
3,0.9749787417941623,66.90666666666667,0.6026925381660462,80.18,0.001,162.57330179214478
4,0.9816591123580932,67.06444444444445,0.5890769994735717,80.9,0.001,163.81737804412842
5,0.981696122762892,67.46222222222222,0.6153875820159912,80.4,0.001,163.57807779312134
6,0.9192193126042684,68.88444444444444,0.5531093349456787,81.86,0.0001,160.62573647499084
7,0.8957518208821614,69.53555555555556,0.5351574090957641,82.2,0.0001,162.88799285888672
8,0.8900894737667507,69.35333333333334,0.5402435828208924,81.72,0.0001,162.24736094474792
9,0.8617726420720419,70.15555555555555,0.5348990861892701,81.8,0.0001,160.3714838027954
10,0.8524851303524441,70.5111111111111,0.5372268469810486,81.78,0.0001,160.53986835479736
